dataset,f3s_1tb1tcb,f3s_1tb1rw,f3s_1tb1rw_no_softmax,f3s_1tb1rw_scheduled,f3s_1tb1rw_scheduled_permuteV,flashSparse_no_softmax,flashSparse_naive_softmax,flashSparse_stable_softmax,dfgnn_tiling,dfgnn_hyper,pyg_gtconv
citeseer,0.055296000093221664,0.03788800165057182,,0.037376001477241516,0.02969600073993206,,0.09216000139713287,0.3752960115671158,0.09523200243711472,0.051711998879909515,0.32204800844192505
cora,0.0798719972372055,0.04915200173854828,,0.04710400104522705,0.0363520011305809,,0.09728000313043594,0.374783992767334,0.11929600313305855,0.0655359998345375,0.34508800506591797
pubmed,0.33228799700737,0.2447359934449196,,0.1653760001063347,0.13414399325847626,,0.25036800652742386,0.4853760004043579,0.5048320293426514,0.21606400609016418,1.9071999788284302
Ell,0.8366079926490784,0.8601599931716919,,0.8709120154380798,0.7485439777374268,,1.4187519550323486,1.3895678520202637,3.707904100418091,0.984063982963562,4.082175970077515
github,3.338239908218384,2.177535891532898,,1.506816029548645,1.0741759538650513,,0.5580800175666809,1.250815987586975,4.8511998653411865,,8.524800300598145
Artist,1.248255968093872,0.8724480271339417,,0.7004160284996033,0.5642240047454834,,0.7659519910812378,0.9256959855556488,1.3102079629898071,1.4699519872665405,11.918335914611816
com-amazon.ungraph,1.8247679471969604,1.6168960332870483,,1.504256010055542,1.2805119752883911,,1.9957759380340576,1.830399990081787,4.074495792388916,1.871359944343567,14.340607643127441
Blog,7.47161602973938,4.900864124298096,,4.001791954040527,2.7130879163742065,,3.7073917388916016,5.759488105773926,5.510143995285034,,60.5665283203125
amazon0505,4.107264041900635,3.273215889930725,,2.9184000492095947,2.4975359439849854,,3.268095850944519,3.080703854560852,6.7594239711761475,3.8425599336624146,49.634817123413086
igb_small,19.356672286987305,15.214591979980469,,13.428224086761475,11.70739221572876,,18.108928680419922,15.877632141113281,21.691391944885254,,
yelp,21.609472274780273,16.03123188018799,,13.369855880737305,11.284992218017578,,20.97407817840576,14.501887798309326,22.53875160217285,,
reddit,89.7991714477539,61.33350372314453,,46.13376045227051,38.569984436035156,,46.10355186462402,55.09836769104004,110.98931121826172,,
igb_medium,192.40140533447266,154.18572998046875,,136.53298950195312,118.6426887512207,,,169.28972625732422,,,
ogbn-products,184.47923278808594,139.08940887451172,,119.8837776184082,103.83820724487305,,148.64434814453125,147.13036346435547,177.06035614013672,,
amazonProducts,372.4047393798828,266.0218963623047,,219.55174255371094,177.25081634521484,,,,328.34507751464844,,
ZINC,0.10547199845314026,0.10239999741315842,,0.09830400347709656,0.08550399914383888,,0.18380799144506454,0.4280319809913635,0.3563520014286041,0.11980800330638885,0.899071991443634
PascalVOC-SP,2.9665279388427734,2.3664638996124268,,2.226688027381897,1.831936001777649,,4.034560203552246,3.6531200408935547,7.611392021179199,2.8421119451522827,40.519168853759766
COCO-SP,2.955264091491699,2.3603200912475586,,2.225152015686035,1.8283519744873047,,2.821120023727417,2.565119981765747,7.602176189422607,2.826240062713623,40.16486358642578
Peptides-func,0.5038080215454102,0.5002239942550659,,0.4853760004043579,0.41676801443099976,,0.7075839936733246,0.7429119944572449,2.1862399578094482,0.6236159801483154,4.744192123413086
Peptides-struct,0.5038080215454102,0.5002239942550659,,0.4853760004043579,0.41676801443099976,,0.6901760101318359,0.726527988910675,2.1862399578094482,0.6236159801483154,4.741631984710693
ogbg-molhiv,0.08294399827718735,0.0798719972372055,,0.07782399654388428,0.06860800087451935,,0.15360000729560852,0.4065280258655548,0.3256320059299469,0.1085439994931221,0.7971839904785156
ogbg-ppa,4.197376012802124,2.1729280948638916,,2.140160083770752,1.8216960430145264,,3.6234241724014282,3.774976134300232,6.327296018600464,4.02892804145813,77.97964859008789
ogbg-molpcba,0.14336000382900238,0.13619199395179749,,0.13312000036239624,0.1162240020930767,,0.23296001553535461,0.45926401019096375,0.449535995721817,0.14233599603176117,1.0746879577636719
ogbg-code2,0.3123199939727783,0.32870399951934814,,0.33484798669815063,0.29388800263404846,,0.4940800219774246,0.6195200085639954,1.136639952659607,0.43929600715637207,2.0285439491271973
