dataset,f3s_1tb1tcb,f3s_1tb1rw,f3s_1tb1rw_no_softmax,f3s_1tb1rw_scheduled,f3s_1tb1rw_scheduled_permuteV,flashSparse_no_softmax,flashSparse_naive_softmax,flashSparse_stable_softmax,dfgnn_tiling,dfgnn_hyper,pyg_gtconv
citeseer,1432520830918.2947,2302047197009.7593,,2334020084439.0596,2937094754402.9307,,535027769666.8307,131384960800.57716,50097402951.81118,92267632979.31348,14814213824.496918
cora,1050570549160.0377,1833734310139.249,,1913461914062.4543,2479907363651.316,,518388141213.19006,134554305875.34781,45747991420.57929,83274109096.96567,15814667330.895866
pubmed,2285081717006.248,3269162968381.3423,,4837917885019.683,5964246482944.517,,1742213273103.3633,898685566211.68,90784683491.01619,212117773938.12912,24030526327.496895
Ell,2482330883572.9507,2908124926665.7935,,2873750065182.393,3344143713762.5825,,1235635375599.4707,1262696258075.443,39921564668.79709,164908530066.8647,31742941478.408417
github,1374272986020.5527,2142881955755.629,,3096730164299.2764,4343986975071.5835,,4390611100328.87,1958971387383.1812,61599025705.79274,,35054096336.80529
Artist,5391340414937.916,7835553453490.122,,9760075260761.785,12115955887207.797,,4620455434816.7295,3823124898083.0186,323293155476.0978,288159924309.82605,35540301520.68996
com-amazon.ungraph,4490204605241.023,5514366415924.722,,5927287060445.772,6962963862527.33,,2578336085697.506,2811293276173.745,117480996027.57173,255790373882.4032,33379049605.745613
Blog,3389897415725.741,5206299367612.787,,6375980625938.756,9404544538459.781,,3911308353072.33,2517715437264.68,392796121045.4657,,35735301251.487564
amazon0505,5083076020196.386,6636976765992.48,,7443892856938.408,8698276127845.23,,3662991209503.381,3885803251808.24,256749446974.66052,451646316198.95154,34964932082.76756
igb_small,5249636753773.442,6814958095519.897,,7721557688090.195,8856524635569.809,,2974656022142.3325,3374648283795.4336,287635985198.7911,,
yelp,5354960411644.074,7310676613469.828,,8765924860327.949,10385399462326.898,,2860396869195.228,4136993629234.073,320101245962.6115,,
reddit,5120109430389.051,7504292311531.207,,9976740056582.074,11933260329060.395,,6054729110560.609,5066291115732.75,534978250731.0,,
igb_medium,5248451425473.952,6683352523507.644,,7547463440702.594,8685554900037.8125,,,3146212217877.6177,,,
ogbn-products,5565401096804.107,7418179523006.916,,8606585535399.108,9936515834783.54,,3490816621632.8486,3526737000849.2793,361245657316.901,,
amazonProducts,5763212103804.545,8080099085062.144,,9790337143621.285,12126838841699.234,,,,416219189622.7926,,
ZINC,2810873827632.2393,3827092596680.4907,,3986554546492.1562,4583508705648.311,,1065871829445.002,457709350470.12994,74299018649.695,220991947693.93268,29448814168.358967
PascalVOC-SP,5229940520314.879,6959925435878.182,,7396821178489.666,8990713797871.578,,2757618991582.8394,3045556040341.8833,188563439382.2283,504987253238.41125,35421019207.19046
COCO-SP,5225734982014.679,6971256888849.744,,7394729699367.059,8999579520769.393,,3934960331085.7827,4327670439945.0464,187390270694.08105,504052671531.4449,35468162117.96802
Peptides-func,3728021690164.197,5003316455803.408,,5156366029459.6,6005202494766.691,,1764303561361.1646,1680405703866.9863,72909809113.41165,255603356992.37546,33598632508.59908
Peptides-struct,3728021690164.197,5003316455803.408,,5156366029459.6,6005202494766.691,,1808803756829.4133,1718300738660.0159,72909809113.41165,255603356992.37546,33616770605.215157
ogbg-molhiv,3237632783297.583,4419355922097.509,,4535654806688.783,5144921576210.741,,1157891611669.766,437490526320.6097,72620564223.9212,217861697656.51974,29663904490.302746
ogbg-ppa,4005835795853.8916,7988222200738.43,,8110529945693.223,9528391146569.334,,3327051271702.559,3193481906343.661,442726112949.6593,695286193844.4832,35922937324.66543
ogbg-molpcba,2321422259425.702,3209870443300.2417,,3283944221829.259,3761418743439.2593,,936059404180.739,474811058962.75037,66002790171.13649,208454859116.44748,27608606312.37812
ogbg-code2,3468773427596.908,3759926796775.262,,3690937455491.1304,4205353620844.998,,1868277829803.8574,1489992686568.727,49997955700.06587,129365332427.8244,28015007525.2013
