dataset,f3s_1tb1tcb,f3s_1tb1rw,f3s_1tb1rw_no_softmax,f3s_1tb1rw_scheduled,f3s_1tb1rw_scheduled_permuteV,flashSparse_no_softmax,flashSparse_naive_softmax,flashSparse_stable_softmax,dfgnn_tiling,dfgnn_hyper,pyg_gtconv
citeseer,2441221218496.113,4752790784886.121,,4343847261244.779,5774653042148.775,,615204212534.5833,115439212074.09583,89465198698.90659,105331395081.20062,9087355609.716518
cora,1838224209103.791,3998037447220.3423,,3516380067845.2656,4663731731974.975,,512072575856.27747,103364455072.70242,88297334919.4127,101454858417.42636,10944910418.903568
pubmed,7984130893602.234,13932665771729.734,,17885313408342.414,26167397626410.312,,3605269581325.534,899920952809.4011,367296142265.65216,624068255069.7637,89371319968.59525
Ell,10801250974284.816,11693695839718.428,,12345975657014.277,14862577473699.21,,4509682323985.533,1120444670231.8062,162848037978.97803,462957522695.7366,102488931168.36765
github,2078419273011.2192,5107491000185.349,,4589323009963.566,6939954528616.0,,10079582232459.656,3471617943006.355,112212843415.97026,,120735535687.79591
Artist,15724940743444.219,25463813695082.54,,28814226163833.36,43332375817282.484,,11803273752562.688,4396832257744.3457,847895618572.1223,987940602042.4458,124281537417.23457
com-amazon.ungraph,15868701012467.04,19024301365837.387,,19293696726279.215,24366412389214.31,,8844471691100.332,2158871067189.5127,381354259884.5448,810436439915.5735,117406299993.05014
Blog,5080023482636.068,12203536542560.271,,10670306611107.809,16391147201765.367,,17356030515923.605,9436173341207.629,720482237144.5436,,131628687724.28375
amazon0505,18432371139980.938,24344941269674.39,,24236301763619.273,31902398798727.81,,12621252960427.514,3483394975228.7764,833928249258.9493,1413163610638.794,125196222500.13612
igb_small,18639026167738.438,26551720538525.543,,26134224834956.848,35003411861338.27,,13801052813665.697,5218422616911.822,1019113219664.9819,,121245791821.08289
yelp,16700510868930.926,26754673039932.62,,29075211414175.47,40434472141741.19,,16051045965639.936,7248770926838.714,1066341046135.674,,126366257239.1722
reddit,13353135239611.645,24784833300403.188,,33692947586262.96,50271278498687.35,,20642243899096.945,16412542633972.432,1919868397855.9844,,
igb_medium,18837552164545.844,26209961325242.1,,25676733809960.36,34361752809216.945,,11829463006534.18,4694044766965.682,1005721115564.6287,,
ogbn-products,19853885171718.71,29636669658966.68,,29279397556205.508,40705242515582.19,,16391093611525.945,10578522761643.744,1447936781754.6401,,
amazonProducts,20235039069526.535,31055335428908.848,,33053587369557.15,49526748769991.125,,19759024948058.383,16257044347539.035,1587132703435.459,,
ZINC,9625602649762.13,12912079848401.828,,12684389699784.04,16146790004176.195,,1920170858599.2993,392368557729.79205,212588855952.3606,465586536495.2206,63059428360.93271
PascalVOC-SP,18445714992123.11,23413032147812.914,,23194105242629.332,30520658753546.727,,12158790542263.213,2843955571329.945,614371290702.9155,1486829177821.4585,127585639031.48618
COCO-SP,18423986111504.984,23422763849528.727,,23188272965273.336,30440440842390.742,,12114758551420.63,2852742629166.199,614536324525.2961,1485292657837.5796,127439872956.26364
Peptides-func,12266243922253.348,15027719765521.914,,15507444446411.02,18900869903536.11,,4817921130069.867,934528882047.2158,235384314044.40186,672137225597.8943,108940560107.03377
Peptides-struct,12331969177111.992,15059554116328.574,,15561433620719.234,18871224098919.844,,4795064928979.141,936220128926.9376,236479206903.23026,681844501523.7777,108804946545.71222
ogbg-molhiv,9466405013192.977,12992882439114.79,,12693636703753.848,16451920018125.88,,2003924434828.6646,377430382804.6272,209969484545.9272,513542199151.7874,53075358650.1514
ogbg-ppa,19960395954656.766,26706334144584.82,,25208302749387.742,33334295328359.2,,14285454835695.773,4620283929783.91,1388796468656.9268,2139411013697.2852,130436866349.66629
ogbg-molpcba,9219862527428.645,12046920421372.861,,13010674749627.459,15037107619653.848,,2012194770328.1445,427965356593.2224,216637619408.68237,496500803265.0,63690868653.41646
ogbg-code2,10825012999256.764,10258158748517.584,,10827578330488.074,12833350325002.693,,4477135353084.853,1007568480624.5273,180986239908.39188,363901500056.2461,91331026302.46155
